id label
4 """bug"""
5 """feature-request"""
6 """discussion"""
8 """status-completed"""
9 """status-declined"""
10 """status-bydesign"""
16 """support"""
22 """reputation"""
26 """retag-request"""
27 """tags"""
28 """specific-question"""
29 """questions"""
37 """closed-questions"""
39 """answers"""
44 """editing"""
87 """comments"""
121 """reopen-request"""
195 """flagging"""
322 """tag-synonym-request"""
485 """tag-cleanup-request"""
