Source Target Weight
322 26 707.2569328856124
195 39 688.1992235915559
4 10 974.0084799720114
5 9 868.0257936508176
6 485 610.3704968395257
39 29 662.1898815734528
8 26 847.2829935855037
9 87 575.7536276715545
10 22 736.8516187088
44 87 615.6545774560617
16 121 623.8605211245219
22 87 595.0326127514654
87 29 496.55276958198243
121 37 895.4457758102373
26 27 694.7881041035447
27 29 349.103406121833
28 37 830.7532673345868
29 37 484.28324015867196
485 27 623.1993532694803
